No. matches: 629; time differenes: 5.31909 size differences: 6.31368 ratio: 0.842471
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,81074,621366,47389024,7505771,45218,2310
2,110904,610776,47389024,7505771,45218,2310
3,116230,610492,47389024,7505771,45218,2310
4,116818,614717,47389024,7505771,45218,2310
5,117943,610495,47389024,7505771,45218,2310
6,117727,548641,47389024,7505771,45218,2310
7,106959,540041,47389024,7505771,45218,2310
8,106780,538372,47389024,7505771,45218,2310
9,108015,570478,47389024,7505771,45218,2310
10,108108,546213,47389024,7505771,45218,2310
11,107472,552296,47389024,7505771,45218,2310
12,108253,905176,47389024,7505771,45218,2310
13,133198,578976,47389024,7505771,45218,2310
14,113279,592807,47389024,7505771,45218,2310
15,114026,598711,47389024,7505771,45218,2310
16,119407,603716,47389024,7505771,45218,2310
17,112860,630930,47389024,7505771,45218,2310
18,115985,614013,47389024,7505771,45218,2310
19,115442,599909,47389024,7505771,45218,2310
20,112850,608753,47389024,7505771,45218,2310
21,116327,617624,47389024,7505771,45218,2310
22,115649,613862,47389024,7505771,45218,2310
23,115159,625588,47389024,7505771,45218,2310
24,113973,613215,47389024,7505771,45218,2310
25,115352,616641,47389024,7505771,45218,2310
26,115164,609238,47389024,7505771,45218,2310
27,115321,619496,47389024,7505771,45218,2310
28,114391,605243,47389024,7505771,45218,2310
29,113680,608391,47389024,7505771,45218,2310
30,113797,607578,47389024,7505771,45218,2310
31,113101,615884,47389024,7505771,45218,2310
32,115884,626425,47389024,7505771,45218,2310
33,117668,610899,47389024,7505771,45218,2310
34,116520,601872,47389024,7505771,45218,2310
35,116572,627144,47389024,7505771,45218,2310
36,116338,625967,47389024,7505771,45218,2310
37,116152,627991,47389024,7505771,45218,2310
38,118394,609299,47389024,7505771,45218,2310
39,115465,605139,47389024,7505771,45218,2310
40,117104,611012,47389024,7505771,45218,2310
41,117274,628480,47389024,7505771,45218,2310
42,115931,623687,47389024,7505771,45218,2310
43,116291,607084,47389024,7505771,45218,2310
44,116820,609762,47389024,7505771,45218,2310
45,116037,632542,47389024,7505771,45218,2310
46,117920,621037,47389024,7505771,45218,2310
47,115851,611275,47389024,7505771,45218,2310
48,118040,622564,47389024,7505771,45218,2310
49,116223,626729,47389024,7505771,45218,2310
50,116452,632304,47389024,7505771,45218,2310
51,116264,619181,47389024,7505771,45218,2310
52,116600,607547,47389024,7505771,45218,2310
53,116388,610904,47389024,7505771,45218,2310
54,117418,641943,47389024,7505771,45218,2310
55,115450,623773,47389024,7505771,45218,2310
56,116498,621882,47389024,7505771,45218,2310
57,117922,633780,47389024,7505771,45218,2310
58,116044,607170,47389024,7505771,45218,2310
59,116382,617067,47389024,7505771,45218,2310
60,117238,626425,47389024,7505771,45218,2310
61,116959,608124,47389024,7505771,45218,2310
62,117051,635028,47389024,7505771,45218,2310
63,117345,625280,47389024,7505771,45218,2310
64,117165,624823,47389024,7505771,45218,2310
65,117243,623906,47389024,7505771,45218,2310
66,117482,620198,47389024,7505771,45218,2310
67,116365,605020,47389024,7505771,45218,2310
68,115897,626398,47389024,7505771,45218,2310
69,116759,624039,47389024,7505771,45218,2310
70,116895,626643,47389024,7505771,45218,2310
71,117551,611576,47389024,7505771,45218,2310
72,115766,611670,47389024,7505771,45218,2310
73,115526,636131,47389024,7505771,45218,2310
74,116556,623892,47389024,7505771,45218,2310
75,116287,623023,47389024,7505771,45218,2310
76,117151,611636,47389024,7505771,45218,2310
77,116946,621929,47389024,7505771,45218,2310
78,116581,611407,47389024,7505771,45218,2310
79,116652,624439,47389024,7505771,45218,2310
80,116849,610850,47389024,7505771,45218,2310
81,116465,624898,47389024,7505771,45218,2310
82,116524,619740,47389024,7505771,45218,2310
83,116502,605649,47389024,7505771,45218,2310
84,117022,606265,47389024,7505771,45218,2310
85,116707,617885,47389024,7505771,45218,2310
86,117246,606576,47389024,7505771,45218,2310
87,115733,605735,47389024,7505771,45218,2310
88,115992,611089,47389024,7505771,45218,2310
89,116429,608036,47389024,7505771,45218,2310
90,117715,609508,47389024,7505771,45218,2310
91,117389,612310,47389024,7505771,45218,2310
92,117877,618652,47389024,7505771,45218,2310
93,118193,605369,47389024,7505771,45218,2310
94,116703,615548,47389024,7505771,45218,2310
95,117204,622006,47389024,7505771,45218,2310
96,117501,609866,47389024,7505771,45218,2310
97,116113,609448,47389024,7505771,45218,2310
98,116180,645150,47389024,7505771,45218,2310
99,118097,604844,47389024,7505771,45218,2310
100,116271,610338,47389024,7505771,45218,2310
