No. matches: 0; time differenes: 2.26659 size differences: 15.6026 ratio: 0.14527
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,41282,101418,1347240,86347,1285,61
2,42584,99772,1347240,86347,1285,61
3,42325,98527,1347240,86347,1285,61
4,42542,97450,1347240,86347,1285,61
5,42522,97003,1347240,86347,1285,61
6,42504,97117,1347240,86347,1285,61
7,42684,96859,1347240,86347,1285,61
8,42387,96599,1347240,86347,1285,61
9,42832,96684,1347240,86347,1285,61
10,42421,95600,1347240,86347,1285,61
11,42520,96306,1347240,86347,1285,61
12,48298,96020,1347240,86347,1285,61
13,42590,95529,1347240,86347,1285,61
14,42615,96236,1347240,86347,1285,61
15,42338,95885,1347240,86347,1285,61
16,42369,95901,1347240,86347,1285,61
17,42818,95987,1347240,86347,1285,61
18,42559,96255,1347240,86347,1285,61
19,42519,96289,1347240,86347,1285,61
20,42440,95956,1347240,86347,1285,61
21,42394,95497,1347240,86347,1285,61
22,42448,96207,1347240,86347,1285,61
23,42521,95709,1347240,86347,1285,61
24,42365,96359,1347240,86347,1285,61
25,42502,96338,1347240,86347,1285,61
26,42369,96536,1347240,86347,1285,61
27,42448,96594,1347240,86347,1285,61
28,42397,96640,1347240,86347,1285,61
29,42437,95597,1347240,86347,1285,61
30,42517,96213,1347240,86347,1285,61
31,42431,96497,1347240,86347,1285,61
32,42467,96299,1347240,86347,1285,61
33,42482,96223,1347240,86347,1285,61
34,42541,95983,1347240,86347,1285,61
35,42552,96283,1347240,86347,1285,61
36,42387,95858,1347240,86347,1285,61
37,42538,95956,1347240,86347,1285,61
38,42444,95903,1347240,86347,1285,61
39,42775,95960,1347240,86347,1285,61
40,42434,96118,1347240,86347,1285,61
41,42877,95941,1347240,86347,1285,61
42,42437,96396,1347240,86347,1285,61
43,42391,101236,1347240,86347,1285,61
44,42527,95748,1347240,86347,1285,61
45,42520,95394,1347240,86347,1285,61
46,42457,96325,1347240,86347,1285,61
47,42405,95898,1347240,86347,1285,61
48,42684,95857,1347240,86347,1285,61
49,42393,96460,1347240,86347,1285,61
50,42328,96346,1347240,86347,1285,61
51,42621,96219,1347240,86347,1285,61
52,42465,95625,1347240,86347,1285,61
53,42544,95841,1347240,86347,1285,61
54,42658,96035,1347240,86347,1285,61
55,42546,96229,1347240,86347,1285,61
56,42382,96086,1347240,86347,1285,61
57,42583,95500,1347240,86347,1285,61
58,42456,95974,1347240,86347,1285,61
59,42534,96812,1347240,86347,1285,61
60,42420,95970,1347240,86347,1285,61
61,42494,96344,1347240,86347,1285,61
62,42414,96811,1347240,86347,1285,61
63,42321,96249,1347240,86347,1285,61
64,42323,96483,1347240,86347,1285,61
65,42290,96253,1347240,86347,1285,61
66,42915,102598,1347240,86347,1285,61
67,42457,96239,1347240,86347,1285,61
68,42614,95919,1347240,86347,1285,61
69,42422,95779,1347240,86347,1285,61
70,42374,96340,1347240,86347,1285,61
71,42257,95855,1347240,86347,1285,61
72,42305,96072,1347240,86347,1285,61
73,42319,96568,1347240,86347,1285,61
74,42422,96038,1347240,86347,1285,61
75,42411,95905,1347240,86347,1285,61
76,42609,95606,1347240,86347,1285,61
77,42350,95873,1347240,86347,1285,61
78,42359,95857,1347240,86347,1285,61
79,42340,95512,1347240,86347,1285,61
80,42455,96053,1347240,86347,1285,61
81,42439,96733,1347240,86347,1285,61
82,42521,95633,1347240,86347,1285,61
83,42400,95707,1347240,86347,1285,61
84,42429,95928,1347240,86347,1285,61
85,42474,96063,1347240,86347,1285,61
86,42329,96029,1347240,86347,1285,61
87,42384,95988,1347240,86347,1285,61
88,42315,95756,1347240,86347,1285,61
89,42330,95874,1347240,86347,1285,61
90,42420,95814,1347240,86347,1285,61
91,42362,95747,1347240,86347,1285,61
92,42428,95518,1347240,86347,1285,61
93,42348,95274,1347240,86347,1285,61
94,42434,95551,1347240,86347,1285,61
95,42447,95852,1347240,86347,1285,61
96,42311,95724,1347240,86347,1285,61
97,42548,95596,1347240,86347,1285,61
98,42517,95778,1347240,86347,1285,61
99,42287,101745,1347240,86347,1285,61
100,42391,95450,1347240,86347,1285,61
