No. matches: 317; time differenes: 4.41681 size differences: 8.18105 ratio: 0.539883
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,71440,427523,20299272,2481255,19369,1460
2,93107,421741,20299272,2481255,19369,1460
3,92554,411510,20299272,2481255,19369,1460
4,92459,407363,20299272,2481255,19369,1460
5,91112,398995,20299272,2481255,19369,1460
6,93636,416583,20299272,2481255,19369,1460
7,92734,399081,20299272,2481255,19369,1460
8,91673,397331,20299272,2481255,19369,1460
9,105301,410497,20299272,2481255,19369,1460
10,92573,415861,20299272,2481255,19369,1460
11,92768,410274,20299272,2481255,19369,1460
12,93008,408435,20299272,2481255,19369,1460
13,100128,411465,20299272,2481255,19369,1460
14,92581,409901,20299272,2481255,19369,1460
15,92609,417130,20299272,2481255,19369,1460
16,92011,410057,20299272,2481255,19369,1460
17,91622,408409,20299272,2481255,19369,1460
18,109358,411032,20299272,2481255,19369,1460
19,91718,426819,20299272,2481255,19369,1460
20,91927,415326,20299272,2481255,19369,1460
21,92538,412998,20299272,2481255,19369,1460
22,91874,412877,20299272,2481255,19369,1460
23,92067,406300,20299272,2481255,19369,1460
24,91653,408025,20299272,2481255,19369,1460
25,92111,418272,20299272,2481255,19369,1460
26,92110,409476,20299272,2481255,19369,1460
27,91539,411211,20299272,2481255,19369,1460
28,92376,404934,20299272,2481255,19369,1460
29,92608,404555,20299272,2481255,19369,1460
30,91994,410812,20299272,2481255,19369,1460
31,92694,412044,20299272,2481255,19369,1460
32,91030,414799,20299272,2481255,19369,1460
33,92117,410911,20299272,2481255,19369,1460
34,92352,406820,20299272,2481255,19369,1460
35,92527,421639,20299272,2481255,19369,1460
36,92600,417584,20299272,2481255,19369,1460
37,92263,399530,20299272,2481255,19369,1460
38,93171,418339,20299272,2481255,19369,1460
39,92133,408263,20299272,2481255,19369,1460
40,92139,409343,20299272,2481255,19369,1460
41,91743,397888,20299272,2481255,19369,1460
42,92511,399578,20299272,2481255,19369,1460
43,103986,406734,20299272,2481255,19369,1460
44,92023,398310,20299272,2481255,19369,1460
45,92166,398842,20299272,2481255,19369,1460
46,92286,399524,20299272,2481255,19369,1460
47,89541,419442,20299272,2481255,19369,1460
48,91886,410861,20299272,2481255,19369,1460
49,92399,412074,20299272,2481255,19369,1460
50,91924,408706,20299272,2481255,19369,1460
51,91880,414361,20299272,2481255,19369,1460
52,91900,409497,20299272,2481255,19369,1460
53,91875,409255,20299272,2481255,19369,1460
54,99254,412305,20299272,2481255,19369,1460
55,91757,408913,20299272,2481255,19369,1460
56,92056,407594,20299272,2481255,19369,1460
57,89754,395515,20299272,2481255,19369,1460
58,92571,397369,20299272,2481255,19369,1460
59,89515,397922,20299272,2481255,19369,1460
60,89853,396449,20299272,2481255,19369,1460
61,89871,427558,20299272,2481255,19369,1460
62,92573,409309,20299272,2481255,19369,1460
63,92244,413121,20299272,2481255,19369,1460
64,92346,410849,20299272,2481255,19369,1460
65,92193,417646,20299272,2481255,19369,1460
66,93131,411888,20299272,2481255,19369,1460
67,92910,411673,20299272,2481255,19369,1460
68,91869,412767,20299272,2481255,19369,1460
69,92547,408011,20299272,2481255,19369,1460
70,92141,417075,20299272,2481255,19369,1460
71,92264,409045,20299272,2481255,19369,1460
72,92184,397640,20299272,2481255,19369,1460
73,92338,414244,20299272,2481255,19369,1460
74,92772,401909,20299272,2481255,19369,1460
75,90104,398126,20299272,2481255,19369,1460
76,89897,397210,20299272,2481255,19369,1460
77,90177,392860,20299272,2481255,19369,1460
78,89960,397941,20299272,2481255,19369,1460
79,89373,395353,20299272,2481255,19369,1460
80,89181,398430,20299272,2481255,19369,1460
81,88779,397165,20299272,2481255,19369,1460
82,90004,398926,20299272,2481255,19369,1460
83,89034,409481,20299272,2481255,19369,1460
84,105516,396644,20299272,2481255,19369,1460
85,89895,397184,20299272,2481255,19369,1460
86,91368,417174,20299272,2481255,19369,1460
87,90527,397747,20299272,2481255,19369,1460
88,92295,398758,20299272,2481255,19369,1460
89,92101,397157,20299272,2481255,19369,1460
90,89792,400430,20299272,2481255,19369,1460
91,92604,464005,20299272,2481255,19369,1460
92,90809,399578,20299272,2481255,19369,1460
93,91469,411575,20299272,2481255,19369,1460
94,90289,408731,20299272,2481255,19369,1460
95,99167,410213,20299272,2481255,19369,1460
96,92560,406163,20299272,2481255,19369,1460
97,93498,412557,20299272,2481255,19369,1460
98,105170,420094,20299272,2481255,19369,1460
99,89738,400688,20299272,2481255,19369,1460
100,92316,396138,20299272,2481255,19369,1460
